lemma,grammatical info,distribution,senses
"
",,,N
"
",,,A
a,prep.,,"['_on, at, in, to, for_']"
ā_1,adv.,,"['_always, ever, at all, continuously, for ever_']"
ā_1,adv.,,['_world without end_']
ā_1,adv.,,['_at any time_']
ā_1,adv.,,"['_in any degree_', '_ON._']"
ā_2,noun feminine,,[]
ā-_1,,,[]
ā-_1,,,[]
ā-_2,,,"['_forth, away_']"
ā-_3,,,[]
ā-_4,,,[]
ā-_5,,,[]
ā-_6,pron.,,[]
ā-_7,,,[]
āǣlan,,,[]
āǣðan,,,[]
āb,,,[]
ābacan,V_6,,['_to bake_']
ābǣdan,,,"['_to compel, restrain, ward off_']"
ābǣdan,,,"['_exact, take toll_']"
ābǣdan,,,"['_force out, extract_']"
ābæligan,,,[]
ābǣran,,,"['_to disclose, bring to light_']"
ābære,,,[]
ābærnan,,,[]
abal,,,[]
ābannan,V_7,,"['_to summon, convoke, command_']"
ābannan,V_7,,"['_announce, proclaim_', '_call out, assemble_, _Chr_', '_abanne_']"
ābarian,,,"['_to lay bare, disclose_']"
"abbad,",,,[]
abbud,noun masculine,,"['_abbot_,’ _BH, Chr_']"
abbud,noun masculine,,['_L._']
abbuddōm,noun masculine,,['_abbatial jurisdiction_']
abbudesse,noun feminine,,['_abbess_']
abbudhād,noun masculine,,"['_abbatial rank, dignity_']"
abbudlēast,noun feminine,,['_lack of an abbot_']
abbudrīce,noun neuter,,"['_abbey, abbacy, office or jurisdiction of an abbot_']"
ābēatan,V_7,,"['_to beat, strike, break to pieces, make to fall_, _Cr_', '_abeat_']"
ābēcēdē,noun feminine,,"['_ABC, alphabet_']"
ābedecian,,,['_to get by begging or asking_']
abedisse,,,[]
ābēgan,,,[]
ābelgan,V_3,,"['_to make angry, irritate, offend_, _Sol_']"
ābelgan,V_3,,[]
ābelgan,V_3,,"['_hurt, distress_']"
ābelgan,V_3,,"['_be angry with_', '_abelgen_']"
ābēodan,V_2,,"['_to order, proclaim, bid, command, direct_']"
ābēodan,V_2,,"['_summon, call out_']"
ābēodan,V_2,,"['_announce, relate, declare, present, offer_, _AO_']"
ābēodan,V_2,,"['_to wish one good luck, greet, bid farewell to_', '_abede_']"
ābeofian,,,[]
ābēogan,,,[]
ābeornan,V_3,,['_to take fire_']
ābēowan,,,[]
āberan,V_4,,"['_to bear, carry_']"
āberan,V_4,,"['_endure, suffer_, _Mt, Bo_']"
āberan,V_4,,[]
āberan,V_4,,['_bear (a\xa0child)_']
āberan,V_4,,"['_take away, remove_']"
āberan,V_4,,['_reveal_']
āberan,V_4,,['_restrain oneself_']
āberan,V_4,,['_do without_']
"ā-berd,",,,"['_crafty, cunning_']"
āberendlic,,,['_bearable_']
ābernan,,,[]
āberstan,V_3,,"['_to burst out, break out_']"
āberstan,V_3,,"['_break away, escape_', '_break out_']"
ābeðecian,,,[]
ābicgan,,,[]
ābīdan,V_1,,"['_to ‘abide,’ wait, remain, delay, remain behind_']"
ābīdan,V_1,,['_survive_']
ābīdan,V_1,,"['_wait for, await_']"
ābīdan,V_1,,"['_expect_, _Mt_']"
ābiddan,V_5,,"['_to ask for, request, require, demand, pray, pray to, pray for_']"
ābiddan,V_5,,"['_get by asking, obtain_']"
ābiddan,V_5,,['_call out (an\xa0army)_']
ābifian,,,"['_to tremble, quake, shake_']"
"ābilgð,",,,[]
ābiran,,,[]
ābiring,,,[]
"ābisg-,",,,[]
ābītan,V_1,,"['_to bite in pieces, tear to pieces, devour, gnaw_']"
ābītan,V_1,,"['_taste, partake of, consume_']"
ābit(e)rian,,,['_to turn bitter_']
ābit(e)rian,,,['_embitter_']
ābitt,,,[]
ābītt,,,[]
,,,[]
āblācian,,,"['_to become pale, grow faint_']"
āblācian,,,['_become tarnished_']
āblǣcan,,,"['_to bleach, whiten_']"
āblǣcnes,noun feminine,,"['_pallor, gloom_']"
āblǣcung,noun feminine,,['_pallor_']
āblǣst,,,"['_inspired, furious_']"
āblāwan,V_1,,"['_to blow, blow away, breathe upon_, _Æ_']"
āblāwan,V_1,,"['_puff up, swell_, _Lcd_', '_ablow_']"
"āblāw-nes,",noun feminine,,['_inflation_']
āblegned,,,['_ulcerated_']
āblendan,,,"['_to blind, put out the eyes of_']"
āblendan,,,"['_dazzle, deceive, delude_, _Æ_', '_ablend_']"
āblēred,,,"['_bare, uncovered, bald_']"
